Country,Pop. / sq. km
Singapore,"3,259"
Vatican City,"1,614"
Bangladesh,"1,027"
Palestine,620
San Marino,515
Rwanda,466
Monaco,465
Burundi,380
India,364
Belgium,346
Lebanon,325
Israel,296
The Netherlands,264
Republic of China,264
South Korea,263
El Salvador,251
Liechtenstein,230
Bahrain,229
Luxemburg,222
Sri Lanka,218
Haiti,218
Germany,217
Pakistan,204
Switzerland,196
Vietnam,188
Nepal,188
Nigeria,187
Republic of Kosovo,173
Andorra,170
Japan,167
North Korea,165
United Kingdom,161
Uganda,156
The Gambia,142
China,142
Malawi,138
Kuwait,136
Guatemala,136
Czechia,136
Italy,133
Serbia,123
Togo,118
Poland,118
Syria,115
Slovakia,111
Thailand,107
Hungary,107
Moldova,103
Ghana,103
Slovenia,101
Austria,101
Malta,100
Armenia,100
Philippines,98
Albania,97
Qatar,95
Azerbaijan,95
United Arab Emirates,90
Romania,89
Benin,88
Turkey,87
Dominican Republic,85
Macedonia,83
Ethiopia,83
Jordan,82
Iraq,77
Egypt,77
Spain,75
Kenya,75
Bosnia and Herzegovina,75
Costa Rica,74
Cambodia,74
Sierra Leone,73
Swaziland,72
Barbados,72
Ukraine,71
Myanmar,69
Malaysia,69
Senegal,68
Lesotho,68
Uzbekistan,65
Denmark,65
Portugal,64
Mauritius,63
Trinidad and Tobago,62
Burkina Faso,62
Bulgaria,62
Côte d'Ivoire,61
Brunei,60
Tunisia,58
Tajikistan,58
Georgia,57
France,56
Jamaica,55
Mexico,54
Honduras,53
Comoros,52
Tanzania,50
Cyprus,50
Croatia,49
Cuba,48
Afghanistan,48
Yemen,47
Indonesia,47
Cameroon,47
Iran,46
Guinea,46
Lithuania,45
Belarus,45
Morocco,44
Nicaragua,43
Ireland,43
Ecuador,43
Guernsey,42
South Africa,41
Saint Lucia,41
Jersey,41
Liberia,40
Eritrea,40
East Timor,40
Montenegro,39
Colombia,39
Zimbabwe,36
Greece,33
Djibouti,33
Madagascar,32
Guinea-Bissau,32
Gibraltar,32
United States of America *,31
Venezuela,30
Mozambique,30
Panama,29
Laos,29
Congo-Kinshasa,29
Kyrgyzstan,28
Latvia,27
Brazil,24
Bermuda,22
Grenada,21
Sudan,20
Zambia,19
Isle of Man,19
Equatorial Guinea,19
Bhutan,19
Sweden *,18
Estonia,18
Uruguay,17
South Sudan,17
Saint Vincent and the Grenadines,17
Paraguay,17
Chile,17
Angola,17
Algeria,17
Dominica,16
Somalia,15
Samoa,15
Saint Kitts and Nevis,15
Niger,15
Saudi Arabia,14
Peru,14
Finland *,14
Argentina,14
Congo-Brazzaville,13
São Tomé and Príncipe,12
Mali,12
Antigua and Barbuda,12
Turkmenistan,11
Belize,11
Oman,10
New Zealand *,10
Chad,10
Bolivia,10
Russian Federation *,8
Norway *,8
Cayman Islands,8
Cape Verde,8
Faroe Islands,7
Central African Republic,7
Sahrawi Arab Democratic Republic,6
Papua New Guinea,6
Kazakhstan,6
Gabon,6
Palau,5
Nauru,5
British Virgin Islands,5
Suriname,4
Mauritania,4
Libya,4
Guyana,4
Fiji,4
Tonga,3
Namibia,3
Maldives,3
Canada *,3
Botswana,3
Australia *,3
Vanuatu,2
Turks and Caicos Islands,2
Solomon Islands,2
Seychelles,2
Montserrat,2
Mongolia,2
Iceland *,2
The Bahamas,1
Kiribati,1
Federated States of Micronesia,1
Cook Islands,1
Tuvalu,0
Tokelau,0
South Georgia and South Sandwich Islands,0
"Saint Helena, Ascension and Tristan da Cunha",0
Pitcairn Islands,0
Niue,0
Marshall Islands,0
Greenland,0
Falkland Islands,0
British Indian Ocean Territory,0
Anguilla,0
